MasterID,Site_Name,Site_Type,Site_Address1,Site_Address2,Site_City,Site_State,Site_Zip,Site_Phone,Ext,Contact_First_Name,Contact_Last_Name,Contact_Phone,Sponsoring_Organization,Start_Date,End_Date,Days_of_operation,Comments,Breakfast_Time,Lunch_Time,Snack_Time_AM,Snack_Time_PM,Supper_Time,Site_Location,Site_Program,State_Site_ID_Number,State_Sponsor_ID_Number,sooX,sooY,SOO,Cycle,Country,RecordStatus,FNSID,Created,Season,County,LocationType,Confidence,Mapped_Status,MapX,MapY,Service_Model
406170,East Hill Elementary school,Open,9825 S. 240th Street,,Kent,WA,98031,2533737594,,Ruth,Nowak,2533737594,Kent School District,7/3/2024,7/31/2024,"M, T, W, TH",Please confirm mealtimes with site.,9:00AM - 9:30AM,12:30PM - 1:00PM,,,,,SFSP,661652,159941,,,WA,19,USA,U,347830,9/4/2024 0:00,2024,King County,A,100,M,-122.2092175,47.38687351,Eat On-Site
406171,George T. Daniel Elementary,Open,11310 SE 248th Street,,Kent,WA,98030,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/24/2024,7/19/2024,"M, T, W, TH, F",Please confirm mealtimes with site.,,11:30AM - 12:30PM,,,,,SFSP,665508,159941,,,WA,19,USA,U,93267,9/4/2024 0:00,2024,King County,A,100,M,-122.1896509,47.3797488,Eat On-Site
406169,Covington Elementary,Open,25811 S.E. 156th Avenue,,Covington,WA,98042,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/24/2024,7/18/2024,"M, T, W, TH",Please confirm mealtimes with site.,8:45AM - 9:30AM,,,,,,SFSP,663843,159941,,,WA,19,USA,U,206075,9/4/2024 0:00,2024,King County,A,99.88,M,-122.133701,47.37058317,Eat On-Site
406168,Covington Elementary,Open,25811 S.E. 156th Avenue,,Covington,WA,98042,2533737594,,Ruth,Nowak,2533737594,Kent School District,8/6/2024,8/8/2024,"T, W, TH",Please confirm mealtimes with site.,,,10:30AM - 10:45AM,,,,SFSP,663843,159941,,,WA,19,USA,U,206075,9/4/2024 0:00,2024,King County,A,99.88,M,-122.133701,47.37058317,Eat On-Site
406172,George T. Daniel Elementary,Open,11310 SE 248th Street,,Kent,WA,98030,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/24/2024,7/19/2024,"M, T, W, TH, F",Please confirm mealtimes with site.,8:45AM - 9:15AM,,,,,,SFSP,665508,159941,,,WA,19,USA,U,93267,9/4/2024 0:00,2024,King County,A,100,M,-122.1896509,47.3797488,Eat On-Site
406174,Kent-Meridian High School,Open,10020 SE 256th Street,,Kent,WA,98030,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/24/2024,7/26/2024,"M, T, W, TH, F",Please confirm mealtimes with site.,,11:30AM - 12:30PM,,,,,SFSP,662940,159941,,,WA,19,USA,U,58759,9/4/2024 0:00,2024,King County,A,100,M,-122.2068479,47.37263873,Eat On-Site
406175,Kent-Meridian High School,Open,10020 SE 256th Street,,Kent,WA,98030,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/24/2024,7/26/2024,"M, T, W, TH, F",Please confirm mealtimes with site.,8:00AM - 9:00AM,,,,,,SFSP,662940,159941,,,WA,19,USA,U,58759,9/4/2024 0:00,2024,King County,A,100,M,-122.2068479,47.37263873,Eat On-Site
406173,Horizon Elementary,Open,27641 144th Ave. S.E.,,Kent,WA,98042,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/24/2024,8/9/2024,"M, T, W, TH, F",Please confirm mealtimes with site.,,12:00PM - 12:30PM,,,,,SFSP,661657,159941,,,WA,19,USA,U,272294,9/4/2024 0:00,2024,King County,A,100,M,-122.149666,47.35362224,Eat On-Site
406176,Kentbrook Apartments,Open,9803 S. 248th St.,Bus Site,Kent,WA,98030,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/24/2024,8/9/2024,"M, T, W, TH, F",Please confirm mealtimes with site.,,11:35AM - 12:00PM,,,,,SFSP,665406,159941,,,WA,19,USA,U,44496,9/4/2024 0:00,2024,King County,A,100,M,-122.2099081,47.37964539,Eat On-Site
406177,Kentridge High School,Open,12430 SE 208th St.,,Kent,WA,98031,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/25/2024,7/18/2024,"T, TH",Please confirm mealtimes with site.,8:00AM - 8:45AM,,,,,,SFSP,663593,159941,,,WA,19,USA,U,206806,9/4/2024 0:00,2024,King County,A,100,M,-122.172542,47.41591476,Eat On-Site
406180,Kherson Park,Open,307 W. Gowe St.,,Kent,WA,98032,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/24/2024,8/9/2024,"M, T, W, TH, F",Please confirm mealtimes with site.,,12:00PM - 12:30PM,,,,,SFSP,687461,159941,,,WA,19,USA,U,347931,9/4/2024 0:00,2024,King County,A,100,M,-122.2351799,47.38094342,Eat On-Site
406181,Knol Apartments,Open,11239 SE 260th,,Kent,WA,98030,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/24/2024,8/9/2024,"M, T, W, TH, F",Please confirm mealtimes with site.,,12:00PM - 12:30PM,,,,,SFSP,659346,159941,,,WA,19,USA,U,148672,9/4/2024 0:00,2024,King County,A,98.84,M,-122.1893237,47.36816379,Eat On-Site
406178,Kentwood High School,Open,25800 164th S.E.,,Kent,WA,98042,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/24/2024,7/31/2024,"M, T, W, TH",Please confirm mealtimes with site.,,11:30AM - 12:30PM,,,,,SFSP,663991,159941,,,WA,19,USA,U,58760,9/4/2024 0:00,2024,King County,A,98.84,M,-122.1228033,47.37228768,Eat On-Site
406182,Lake Meridian Park,Open,14800 SE 272nd Street,,Kent,WA,98042,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/24/2024,8/9/2024,"M, T, W, TH, F",Please confirm mealtimes with site.,,12:00PM - 1:30PM,,,,,SFSP,684337,159941,,,WA,19,USA,U,44662,9/4/2024 0:00,2024,King County,A,100,M,-122.1441179,47.35806796,Eat On-Site
406179,Kentwood High School,Open,25800 164th S.E.,,Kent,WA,98042,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/24/2024,7/31/2024,"M, T, W, TH",Please confirm mealtimes with site.,8:00AM - 9:30AM,,,,,,SFSP,663991,159941,,,WA,19,USA,U,58760,9/4/2024 0:00,2024,King County,A,98.84,M,-122.1228033,47.37228768,Eat On-Site
406184,Meridian Green Apartments,Open,11305 se Kent - Kangley rd,,Kent,WA,98030,2533737594,,Ruth,Nowak,2533737594,Kent School District,7/24/2024,8/9/2024,"M, T, W, TH, F",Please confirm mealtimes with site.,,12:00PM - 12:30PM,,,,,SFSP,688005,159941,,,WA,19,USA,U,366597,9/4/2024 0:00,2024,King County,A,100,M,-122.1903561,47.36820589,Eat On-Site
